p=0.25 p_inf=0.1 time series=0,1,9,17
Format is t, #suscepted, #infected, #recovered
840 193 604 203
841 108 715 177
842 58 782 160
843 39 793 168
844 34 762 204
845 27 698 275
846 27 605 368
847 28 482 490
848 36 368 596
849 56 249 695
850 97 162 741
851 145 110 745
852 214 93 693
853 303 88 609
854 407 92 501
855 490 111 399
856 553 142 305
857 553 198 249
858 499 285 216
859 392 391 217
860 282 515 203
861 180 630 190
862 113 728 159
863 68 776 156
864 46 790 164
865 29 756 215
866 23 686 291
867 25 586 389
868 29 460 511
869 43 341 616
870 66 229 705
871 96 158 746
872 147 114 739
873 221 97 682
874 318 93 589
875 426 96 478
876 496 114 390
877 552 163 285
878 533 219 248
879 462 309 229
880 359 424 217
881 250 544 206
882 156 657 187
883 97 748 155
884 66 789 145
885 48 771 181
886 34 733 233
887 31 657 312
888 33 545 422
889 41 423 536
890 47 302 651
891 65 205 730
892 110 146 744
893 154 119 727
894 225 113 662
895 318 118 564
896 411 137 452
897 478 166 356
898 500 220 280
899 457 295 248
900 355 397 248
901 256 526 218
902 177 631 192
903 113 705 182
904 80 750 170
905 48 754 198
906 33 732 235
907 28 672 300
908 31 575 394
909 47 443 510
910 64 322 614
911 88 231 681
912 119 162 719
913 166 127 707
914 231 102 667
915 311 97 592
916 414 114 472
917 483 143 374
918 514 195 291
919 485 255 260
920 417 353 230
921 314 456 230
922 221 584 195
923 158 682 160
924 96 728 176
925 54 761 185
926 41 751 208
927 34 704 262
928 28 613 359
929 31 516 453
930 39 385 576
931 59 279 662
932 89 213 698
933 130 150 720
934 182 119 699
935 265 114 621
936 348 122 530
937 442 136 422
938 493 173 334
939 469 228 303
940 421 318 261
941 337 429 234
942 237 544 219
943 157 649 194
944 113 721 166
945 74 751 175
946 50 753 197
947 37 722 241
948 34 645 321
949 41 537 422
950 47 415 538
951 60 304 636
952 74 219 707
953 108 175 717
954 152 139 709
955 233 126 641
956 314 122 564
957 391 149 460
958 444 194 362
959 452 252 296
960 412 329 259
961 354 413 233
962 262 507 231
963 184 612 204
964 118 694 188
965 69 733 198
966 52 737 211
967 39 696 265
968 35 632 333
969 37 552 411
970 51 456 493
971 60 337 603
972 85 246 669
973 122 182 696
974 169 141 690
975 243 135 622
976 322 125 553
977 396 126 478
978 466 148 386
979 497 197 306
980 485 257 258
981 418 333 249
982 320 441 239
983 236 545 219
984 164 639 197
985 109 710 181
986 75 743 182
987 51 728 221
988 44 692 264
989 43 623 334
990 50 516 434
991 55 405 540
992 65 306 629
993 92 225 683
994 133 165 702
995 183 139 678
996 243 125 632
997 331 134 535
998 410 153 437
999 446 185 369
1000 464 248 288
1001 417 311 272
1002 320 418 262
1003 236 541 223
1004 157 639 204
1005 104 709 187
1006 67 743 190
1007 46 748 206
1008 32 706 262
1009 30 657 313
1010 41 552 407
1011 51 418 531
1012 72 310 618
1013 98 219 683
1014 128 159 713
1015 191 124 685
1016 248 103 649
1017 335 95 570
1018 447 113 440
1019 521 135 344
1020 549 169 282
1021 534 232 234
1022 454 307 239
1023 381 422 197
1024 263 516 221
1025 163 642 195
1026 90 724 186
1027 59 775 166
1028 47 772 181
1029 35 721 244
1030 31 658 311
1031 29 547 424
1032 41 455 504
1033 63 317 620
1034 79 213 708
1035 114 146 740
1036 173 114 713
1037 240 106 654
1038 346 102 552
1039 405 107 488
1040 495 140 365
1041 535 188 277
1042 511 252 237
1043 426 343 231
1044 302 460 238
1045 219 592 189
1046 143 679 178
1047 85 750 165
1048 54 775 171
1049 33 758 209
1050 29 715 256
1051 26 628 346
1052 27 514 459
1053 38 381 581
1054 55 283 662
1055 88 195 717
1056 126 137 737
1057 182 116 702
1058 263 103 634
1059 358 109 533
1060 457 128 415
1061 504 162 334
1062 513 213 274
1063 466 292 242
1064 378 397 225
1065 275 506 219
1066 175 622 203
1067 117 716 167
1068 67 755 178
1069 46 771 183
1070 30 741 229
1071 22 678 300
1072 33 581 386
1073 40 461 499
1074 55 338 607
1075 81 229 690
1076 109 164 727
1077 151 120 729
1078 224 108 668
1079 318 98 584
1080 410 101 489
1081 487 129 384
1082 533 175 292
1083 498 238 264
1084 422 338 240
1085 304 458 238
1086 207 588 205
1087 126 695 179
1088 69 773 158
1089 46 802 152
1090 31 779 190
1091 23 731 246
1092 30 639 331
1093 35 512 453
1094 43 377 580
1095 56 262 682
1096 86 171 743
1097 130 112 758
1098 189 91 720
1099 276 80 644
1100 384 85 531
1101 485 104 411
1102 549 138 313
1103 554 189 257
1104 502 275 223
1105 416 386 198
1106 303 493 204
1107 207 617 176
1108 118 708 174
1109 72 778 150
1110 45 790 165
1111 33 766 201
1112 20 692 288
1113 21 594 385
1114 24 486 490
1115 33 359 608
1116 55 259 686
1117 92 167 741
1118 136 118 746
1119 210 98 692
1120 299 98 603
1121 380 107 513
1122 469 134 397
1123 514 172 314
1124 526 227 247
1125 479 307 214
1126 390 403 207
1127 276 512 212
1128 183 626 191
1129 111 710 179
1130 64 755 181
1131 46 764 190
1132 33 727 240
1133 30 660 310
1134 33 567 400
1135 47 455 498
1136 56 327 617
1137 82 234 684
1138 110 163 727
1139 167 126 707
1140 237 106 657
1141 313 103 584
1142 398 120 482
1143 468 147 385
1144 509 205 286
1145 488 257 255
1146 421 349 230
1147 321 453 226
1148 237 573 190
1149 142 660 198
1150 94 738 168
1151 56 759 185
1152 46 739 215
1153 32 697 271
1154 34 619 347
1155 36 513 451
1156 44 391 565
1157 65 296 639
1158 92 197 711
1159 138 149 713
1160 188 123 689
1161 264 115 621
1162 347 117 536
1163 427 140 433
1164 469 182 349
1165 492 235 273
1166 427 311 262
1167 333 424 243
1168 225 544 231
1169 146 660 194
1170 98 737 165
1171 59 762 179
1172 47 759 194
1173 37 718 245
1174 40 652 308
1175 48 536 416
1176 56 408 536
1177 71 284 645
1178 96 192 712
1179 128 142 730
1180 172 113 715
1181 238 110 652
1182 335 110 555
1183 432 129 439
1184 507 160 333
1185 519 209 272
1186 469 289 242
1187 384 389 227
1188 284 503 213
1189 174 606 220
1190 102 716 182
